PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
37903156,Factors shaping the gender wage gap among college-educated computer science workers,"Sassler S, Meyerhofer P.",PLoS One. 2023 Oct 30;18(10):e0293300. doi: 10.1371/journal.pone.0293300. eCollection 2023.,Sassler S,PLoS One,2023,30/10/2023,PMC10615266,,10.1371/journal.pone.0293300
37346324,Understanding STEM career choices: A systematic mapping,"López P, Simó P, Marco J.",Heliyon. 2023 Jun 1;9(6):e16676. doi: 10.1016/j.heliyon.2023.e16676. eCollection 2023 Jun.,López P,Heliyon,2023,22/06/2023,PMC10279784,,10.1016/j.heliyon.2023.e16676
34887613,Status of the research in fitness apps: A bibliometric analysis,"Liu Y, Avello M.",Telemat Inform. 2021 Mar;57:101506. doi: 10.1016/j.tele.2020.101506. Epub 2020 Sep 23.,Liu Y,Telemat Inform,2021,10/12/2021,PMC7510592,,10.1016/j.tele.2020.101506
37083430,Biological Robots: Perspectives on an Emerging Interdisciplinary Field,"Blackiston D, Kriegman S, Bongard J, Levin M.",Soft Robot. 2023 Aug;10(4):674-686. doi: 10.1089/soro.2022.0142. Epub 2023 Apr 20.,Blackiston D,Soft Robot,2023,21/04/2023,PMC10442684,,10.1089/soro.2022.0142
37346665,The multi-modal fusion in visual question answering: a review of attention mechanisms,"Lu S, Liu M, Yin L, Yin Z, Liu X, Zheng W.",PeerJ Comput Sci. 2023 May 30;9:e1400. doi: 10.7717/peerj-cs.1400. eCollection 2023.,Lu S,PeerJ Comput Sci,2023,22/06/2023,PMC10280591,,10.7717/peerj-cs.1400
39896005,A review of deep learning in blink detection,"Xiong J, Dai W, Wang Q, Dong X, Ye B, Yang J.",PeerJ Comput Sci. 2025 Jan 14;11:e2594. doi: 10.7717/peerj-cs.2594. eCollection 2025.,Xiong J,PeerJ Comput Sci,2025,03/02/2025,PMC11784707,,10.7717/peerj-cs.2594
36091982,Automatic computer science domain multiple-choice questions generation based on informative sentences,"Maheen F, Asif M, Ahmad H, Ahmad S, Alturise F, Asiry O, Ghadi YY.",PeerJ Comput Sci. 2022 Aug 16;8:e1010. doi: 10.7717/peerj-cs.1010. eCollection 2022.,Maheen F,PeerJ Comput Sci,2022,12/09/2022,PMC9454961,,10.7717/peerj-cs.1010
37564310,The potentials for incidental vocabulary acquisition from listening to computer science academic lectures: a higher education corpus-based case study from Macau,"Reynolds BL, Xie XS, Pham QHP.",Front Psychol. 2023 Jul 26;14:1219159. doi: 10.3389/fpsyg.2023.1219159. eCollection 2023.,Reynolds BL,Front Psychol,2023,11/08/2023,PMC10410276,,10.3389/fpsyg.2023.1219159
35397642,Stereotypical descriptions of computer science career interests are not representative of many computer scientists,"McChesney JE, Behrend TS, Glosenberg A.",Sci Rep. 2022 Apr 9;12(1):5990. doi: 10.1038/s41598-022-09522-0.,McChesney JE,Sci Rep,2022,10/04/2022,PMC8994771,,10.1038/s41598-022-09522-0
39416824,Research perspectives and trends in Artificial Intelligence-enhanced language education: A review,"Zheng L, Yang Y.",Heliyon. 2024 Sep 27;10(19):e38617. doi: 10.1016/j.heliyon.2024.e38617. eCollection 2024 Oct 15.,Zheng L,Heliyon,2024,17/10/2024,PMC11481657,,10.1016/j.heliyon.2024.e38617
36091989,Self-supervised learning methods and applications in medical imaging analysis: a survey,"Shurrab S, Duwairi R.",PeerJ Comput Sci. 2022 Jul 19;8:e1045. doi: 10.7717/peerj-cs.1045. eCollection 2022.,Shurrab S,PeerJ Comput Sci,2022,12/09/2022,PMC9455147,,10.7717/peerj-cs.1045
